Samp,Signal,I,Q,R,Phi,,,,
180,-1680,-32.05,-5.99,32.6,-2.96,,,,
181,-1421,-32.55,-5.26,32.98,-2.98,,,,
182,-1054,-32.53,-4.59,32.86,-3,,,,
183,-717,-32.25,-4.23,32.52,-3.01,,,,
184,-555,-31.9,-4.12,32.16,-3.01,,,,
185,-616,-31.51,-4.23,31.79,-3.01,,,,
186,-878,-31.17,-4.68,31.51,-2.99,,,,
187,-1252,-31.15,-5.46,31.62,-2.97,,,,
188,-1570,-31.71,-6.26,32.32,-2.95,,,,
189,-1742,-32.73,-6.59,33.38,-2.94,,,,
190,-1682,-33.71,-6.26,34.29,-2.96,,,,
191,-1420,-34.21,-5.53,34.66,-2.98,,,,
192,-1056,-34.19,-4.87,34.54,-3,,,,
193,-717,-33.91,-4.5,34.2,-3.01,,,,
194,-554,-33.55,-4.39,33.84,-3.01,,,,
195,-614,-33.17,-4.51,33.47,-3.01,,,,
196,-877,-32.82,-4.95,33.19,-2.99,,,,
197,-1254,-32.8,-5.73,33.3,-2.97,,,,
198,-1571,-33.36,-6.53,33.99,-2.95,,,,
199,-1740,-34.38,-6.86,35.06,-2.94,,,,
200,-1679,-35.36,-6.53,35.96,-2.96,,,,
201,-1420,-35.86,-5.81,36.33,-2.98,,,,
202,-1056,-35.84,-5.14,36.21,-3,,,,
203,-715,-35.55,-4.77,35.87,-3.01,,,,
204,-555,-35.2,-4.66,35.51,-3.01,,,,
205,-614,-34.81,-4.78,35.14,-3.01,,,,
206,-877,-34.46,-5.22,34.86,-2.99,,,,
207,-1252,-34.44,-6,34.96,-2.97,,,,
208,-1570,-35,-6.8,35.65,-2.95,,,,
209,-1742,-36.02,-7.13,36.72,-2.95,,,,
210,-1682,-37,-6.8,37.62,-2.96,,,,
211,-1420,-37.5,-6.07,37.99,-2.98,,,,
212,-1055,-37.48,-5.41,37.87,-3,,,,
213,-715,-37.19,-5.04,37.53,-3.01,,,,
214,-555,-36.84,-4.93,37.17,-3.01,,,,
215,-614,-36.45,-5.05,36.79,-3,,,,
216,-878,-36.1,-5.49,36.51,-2.99,,,,
217,-1249,-36.08,-6.27,36.62,-2.97,,,,
218,-1586,-36.64,-7.07,37.32,-2.95,,,,
219,-1746,-37.66,-7.41,38.38,-2.95,,,,
220,-1681,-38.64,-7.08,39.28,-2.96,,,,
221,-1424,-39.14,-6.35,39.65,-2.98,,,,
222,-1050,-39.12,-5.68,39.53,-3,,,,
223,-721,-38.83,-5.31,39.19,-3.01,,,,
224,-550,-38.47,-5.2,38.82,-3.01,,,,
225,-619,-38.08,-5.32,38.45,-3,,,,
226,-875,-37.73,-5.76,38.17,-2.99,,,,
227,-1256,-37.71,-6.55,38.27,-2.97,,,,
228,-1574,-38.27,-7.34,38.96,-2.95,,,,
229,-1743,-39.28,-7.68,40.03,-2.95,,,,
230,-1675,-40.26,-7.35,40.92,-2.96,,,,
231,-1412,-40.76,-6.63,41.29,-2.98,,,,
232,-1059,-40.73,-5.96,41.16,-3,,,,
233,-718,-40.44,-5.59,40.82,-3,,,,
234,-558,-40.08,-5.48,40.45,-3.01,,,,
235,-615,-39.69,-5.59,40.08,-3,,,,
236,-879,-39.34,-6.03,39.8,-2.99,,,,
237,-1254,-39.31,-6.82,39.9,-2.97,,,,
238,-1572,-39.87,-7.61,40.59,-2.95,,,,
239,-1741,-40.88,-7.95,41.65,-2.95,,,,
240,-1679,-41.86,-7.62,42.55,-2.96,,,,
241,-1420,-42.36,-6.89,42.92,-2.98,,,,
242,-1057,-42.33,-6.22,42.79,-3,,,,
243,-714,-42.04,-5.85,42.45,-3,,,,
244,-554,-41.69,-5.74,42.08,-3,,,,
245,-613,-41.29,-5.86,41.71,-3,,,,
246,-879,-40.94,-6.3,41.42,-2.99,,,,
247,-1254,-40.92,-7.08,41.53,-2.97,,,,
248,-1570,-41.47,-7.88,42.21,-2.95,,,,
249,-1740,-42.48,-8.21,43.27,-2.95,,,,
250,-1679,-43.46,-7.88,44.17,-2.96,,,,
251,-1420,-43.96,-7.15,44.54,-2.98,,,,
252,-1056,-43.93,-6.49,44.41,-3,,,,
253,-713,-43.64,-6.12,44.07,-3,,,,
254,-555,-43.28,-6.01,43.7,-3,,,,
255,-615,-42.89,-6.12,43.32,-3,,,,
256,-878,-42.53,-6.57,43.04,-2.99,,,,
257,-1253,-42.51,-7.35,43.14,-2.97,,,,
258,-1571,-43.06,-8.14,43.82,-2.95,,,,
259,-1740,-44.07,-8.47,44.88,-2.95,,,,
260,-1680,-45.05,-8.14,45.78,-2.96,,,,
261,-1420,-45.55,-7.42,46.15,-2.98,,,,
262,-1056,-45.52,-6.75,46.01,-2.99,,,,
263,-717,-45.22,-6.38,45.67,-3,,,,
264,-554,-44.86,-6.27,45.3,-3,,,,
265,-614,-44.47,-6.38,44.93,-3,,,,
266,-879,-44.12,-6.83,44.64,-2.99,,,,
267,-1253,-44.09,-7.61,44.74,-2.97,,,,
268,-1571,-44.64,-8.4,45.43,-2.96,,,,
269,-1739,-45.65,-8.73,46.48,-2.95,,,,
270,-1679,-46.63,-8.4,47.38,-2.96,,,,
271,-1420,-47.12,-7.68,47.74,-2.98,,,,
272,-1056,-47.09,-7.01,47.61,-2.99,,,,
273,-717,-46.8,-6.64,47.27,-3,,,,
274,-555,-46.44,-6.53,46.89,-3,,,,
275,-615,-46.04,-6.64,46.52,-3,,,,
276,-880,-45.69,-7.09,46.23,-2.99,,,,
277,-1253,-45.66,-7.87,46.33,-2.97,,,,
278,-1572,-46.21,-8.66,47.01,-2.96,,,,
279,-1741,-47.22,-9,48.07,-2.95,,,,
280,-1680,-48.19,-8.66,48.97,-2.96,,,,
281,-1419,-48.69,-7.94,49.33,-2.98,,,,
282,-1057,-48.66,-7.27,49.2,-2.99,,,,
283,-715,-48.36,-6.9,48.85,-3,,,,
284,-556,-48,-6.79,48.48,-3,,,,
285,-614,-47.6,-6.9,48.1,-3,,,,
286,-879,-47.25,-7.34,47.82,-2.99,,,,
287,-1253,-47.22,-8.13,47.91,-2.97,,,,
288,-1571,-47.77,-8.92,48.6,-2.96,,,,
289,-1739,-48.78,-9.25,49.65,-2.95,,,,
290,-1680,-49.75,-8.92,50.54,-2.96,,,,
291,-1419,-50.24,-8.19,50.91,-2.98,,,,
292,-1056,-50.21,-7.53,50.77,-2.99,,,,
293,-714,-49.92,-7.16,50.43,-3,,,,
294,-554,-49.56,-7.05,50.05,-3,,,,
295,-616,-49.16,-7.16,49.67,-3,,,,
296,-877,-48.8,-7.6,49.39,-2.99,,,,
297,-1252,-48.77,-8.38,49.49,-2.97,,,,
298,-1570,-49.32,-9.18,50.17,-2.96,,,,
299,-1739,-50.33,-9.51,51.22,-2.95,,,,
300,-1680,-51.3,-9.18,52.11,-2.96,,,,
301,-1420,-51.79,-8.45,52.48,-2.98,,,,
302,-1055,-51.76,-7.78,52.34,-2.99,,,,
303,-715,-51.46,-7.41,51.99,-3,,,,
304,-554,-51.1,-7.3,51.62,-3,,,,
305,-614,-50.7,-7.41,51.24,-3,,,,
306,-878,-50.34,-7.86,50.95,-2.99,,,,
307,-1253,-50.31,-8.64,51.05,-2.97,,,,
308,-1571,-50.86,-9.43,51.73,-2.96,,,,
309,-1740,-51.87,-9.76,52.78,-2.96,,,,
310,-1680,-52.84,-9.43,53.67,-2.96,,,,
311,-1422,-53.33,-8.7,54.04,-2.98,,,,
312,-1056,-53.3,-8.03,53.9,-2.99,,,,
313,-717,-53,-7.66,53.55,-3,,,,
314,-554,-52.64,-7.55,53.17,-3,,,,
315,-614,-52.24,-7.67,52.8,-3,,,,
316,-880,-51.88,-8.11,52.51,-2.99,,,,
317,-1252,-51.85,-8.89,52.6,-2.97,,,,
318,-1571,-52.39,-9.68,53.28,-2.96,,,,
319,-1739,-53.4,-10.01,54.33,-2.96,,,,
320,-1681,-54.37,-9.68,55.22,-2.97,,,,
321,-1420,-54.86,-8.95,55.59,-2.98,,,,
322,-1054,-54.83,-8.29,55.45,-2.99,,,,
