Samp,Signal,I,Q,R,Phi,,,,
183,-570,-26.76,-18.87,32.74,-2.53,,,,
184,-578,-26.4,-18.74,32.38,-2.52,,,,
185,-810,-25.9,-18.89,32.06,-2.51,,,,
186,-1165,-25.45,-19.47,32.05,-2.49,,,,
187,-1524,-25.44,-20.41,32.62,-2.47,,,,
188,-1728,-26.06,-21.28,33.64,-2.46,,,,
189,-1727,-27.07,-21.6,34.64,-2.47,,,,
190,-1506,-27.96,-21.3,35.14,-2.49,,,,
191,-1151,-28.36,-20.7,35.11,-2.51,,,,
192,-787,-28.35,-20.19,34.8,-2.52,,,,
193,-569,-28.12,-19.89,34.44,-2.53,,,,
194,-580,-27.75,-19.76,34.07,-2.52,,,,
195,-808,-27.25,-19.91,33.75,-2.51,,,,
196,-1165,-26.81,-20.49,33.74,-2.49,,,,
197,-1525,-26.79,-21.43,34.31,-2.47,,,,
198,-1728,-27.41,-22.3,35.33,-2.46,,,,
199,-1726,-28.43,-22.62,36.33,-2.47,,,,
200,-1504,-29.31,-22.31,36.83,-2.49,,,,
201,-1151,-29.71,-21.71,36.8,-2.51,,,,
202,-786,-29.69,-21.21,36.49,-2.52,,,,
203,-567,-29.47,-20.9,36.13,-2.52,,,,
204,-579,-29.1,-20.78,35.76,-2.52,,,,
205,-808,-28.6,-20.92,35.44,-2.51,,,,
206,-1166,-28.15,-21.5,35.42,-2.49,,,,
207,-1526,-28.13,-22.45,35.99,-2.47,,,,
208,-1727,-28.75,-23.31,37.02,-2.46,,,,
209,-1726,-29.77,-23.63,38.01,-2.47,,,,
210,-1505,-30.65,-23.32,38.51,-2.49,,,,
211,-1151,-31.05,-22.72,38.48,-2.51,,,,
212,-787,-31.03,-22.22,38.17,-2.52,,,,
213,-568,-30.8,-21.91,37.8,-2.52,,,,
214,-578,-30.44,-21.79,37.43,-2.52,,,,
215,-808,-29.94,-21.93,37.11,-2.51,,,,
216,-1164,-29.49,-22.51,37.1,-2.49,,,,
217,-1525,-29.47,-23.45,37.66,-2.47,,,,
