Samp,Signal,I,Q,R,Phi
416,-744,83.13,113.93,141.04,0.94
417,-134,83.07,113.78,140.88,0.94
418,31,83.03,113.72,140.81,0.94
419,-158,82.89,113.62,140.64,0.94
420,-778,82.37,113.7,140.4,0.94
421,-1515,81.76,114.4,140.61,0.95
422,-2118,81.71,115.66,141.61,0.96
423,-2345,82.52,116.78,142.99,0.96
424,-2113,83.73,117.11,143.97,0.95
425,-1512,84.58,116.75,144.17,0.94
426,-746,84.81,116.29,143.93,0.94
427,-133,84.75,116.14,143.77,0.94
428,30,84.71,116.08,143.7,0.94
429,-159,84.56,115.98,143.53,0.94
430,-778,84.04,116.05,143.29,0.94
431,-1517,83.43,116.75,143.5,0.95
432,-2116,83.38,118.01,144.49,0.96
433,-2345,84.19,119.12,145.87,0.96
434,-2116,85.4,119.46,146.85,0.95
435,-1513,86.25,119.09,147.05,0.94
436,-744,86.47,118.64,146.81,0.94
437,-133,86.42,118.48,146.65,0.94
438,30,86.38,118.42,146.58,0.94
439,-158,86.23,118.32,146.4,0.94
440,-779,85.71,118.39,146.16,0.94
441,-1515,85.1,119.09,146.37,0.95
442,-2119,85.04,120.35,147.36,0.96
443,-2343,85.85,121.46,148.74,0.96
444,-2114,87.06,121.79,149.71,0.95
445,-1514,87.91,121.42,149.91,0.94
446,-744,88.13,120.97,149.67,0.94
447,-125,88.08,120.82,149.51,0.94
448,34,88.03,120.76,149.44,0.94
449,-157,87.88,120.65,149.27,0.94
450,-780,87.36,120.73,149.02,0.94
451,-1515,86.75,121.42,149.23,0.95
452,-2117,86.69,122.67,150.22,0.96
453,-2344,87.51,123.79,151.59,0.96
454,-2115,88.71,124.12,152.56,0.95
455,-1512,89.56,123.75,152.76,0.94
456,-740,89.78,123.29,152.52,0.94
457,-134,89.72,123.13,152.35,0.94
458,30,89.68,123.07,152.28,0.94
459,-159,89.53,122.96,152.1,0.94
460,-778,89,123.04,151.85,0.94
461,-1516,88.39,123.73,152.06,0.95
462,-2118,88.33,124.98,153.05,0.96
463,-2344,89.14,126.1,154.42,0.96
464,-2113,90.35,126.43,155.39,0.95
465,-1511,91.2,126.05,155.58,0.94
466,-744,91.41,125.6,155.34,0.94
467,-133,91.36,125.43,155.18,0.94
468,31,91.31,125.37,155.1,0.94
469,-159,91.16,125.26,154.92,0.94
470,-779,90.63,125.33,154.67,0.94
471,-1518,90.02,126.03,154.87,0.95
472,-2118,89.96,127.28,155.86,0.96
473,-2343,90.77,128.39,157.23,0.96
474,-2116,91.98,128.72,158.2,0.95
475,-1515,92.82,128.34,158.39,0.94
476,-745,93.04,127.88,158.15,0.94
477,-133,92.98,127.72,157.98,0.94
478,30,92.93,127.66,157.9,0.94
479,-159,92.78,127.54,157.72,0.94
480,-779,92.26,127.62,157.47,0.94
481,-1516,91.64,128.31,157.67,0.95
482,-2119,91.58,129.56,158.66,0.96
483,-2344,92.39,130.67,160.03,0.96
484,-2115,93.6,130.99,161,0.95
485,-1513,94.44,130.62,161.18,0.94
486,-745,94.66,130.16,160.94,0.94
487,-135,94.6,129.99,160.77,0.94
488,30,94.55,129.92,160.69,0.94
489,-158,94.4,129.81,160.5,0.94
490,-780,93.87,129.88,160.25,0.94
491,-1516,93.25,130.57,160.45,0.95
492,-2118,93.19,131.82,161.43,0.96
493,-2345,94,132.93,162.81,0.96
494,-2114,95.2,133.25,163.77,0.95
495,-1513,96.05,132.88,163.96,0.94
496,-745,96.26,132.42,163.71,0.94
497,-134,96.2,132.25,163.54,0.94
498,30,96.15,132.18,163.45,0.94
499,-159,96,132.07,163.27,0.94
500,-779,95.47,132.13,163.02,0.95
501,-1517,94.85,132.82,163.21,0.95
502,-2118,94.79,134.07,164.2,0.96
503,-2346,95.6,135.18,165.57,0.96
504,-2116,96.8,135.5,166.53,0.95
505,-1513,97.65,135.12,166.71,0.95
506,-747,97.86,134.66,166.46,0.94
507,-134,97.8,134.49,166.29,0.94
508,29,97.75,134.42,166.2,0.94
509,-159,97.59,134.31,166.02,0.94
510,-778,97.07,134.37,165.76,0.95
511,-1518,96.44,135.06,165.96,0.95
512,-2119,96.38,136.31,166.94,0.96
513,-2344,97.19,137.41,168.31,0.96
514,-2115,98.39,137.74,169.27,0.95
515,-1513,99.23,137.36,169.45,0.95
516,-745,99.45,136.89,169.2,0.94
517,-133,99.38,136.72,169.03,0.94
518,29,99.33,136.65,168.94,0.94
519,-158,99.17,136.53,168.75,0.94
520,-781,98.65,136.6,168.49,0.95
521,-1516,98.02,137.28,168.69,0.95
522,-2118,97.96,138.53,169.67,0.96
523,-2345,98.77,139.63,171.03,0.96
524,-2115,99.97,139.96,171.99,0.95
525,-1513,100.81,139.57,172.17,0.95
526,-743,101.02,139.11,171.92,0.94
527,-134,100.96,138.94,171.74,0.94
528,30,100.9,138.86,171.65,0.94
529,-157,100.75,138.75,171.47,0.94
530,-779,100.22,138.81,171.21,0.95
531,-1517,99.6,139.5,171.4,0.95
532,-2120,99.53,140.74,172.38,0.96
533,-2346,100.34,141.84,173.74,0.96
534,-2115,101.54,142.16,174.7,0.95
535,-1514,102.38,141.78,174.88,0.95
536,-746,102.59,141.31,174.62,0.94
537,-133,102.52,141.14,174.45,0.94
538,30,102.47,141.07,174.36,0.94
539,-159,102.31,140.95,174.17,0.94
540,-780,101.78,141.01,173.91,0.95
541,-1516,101.16,141.69,174.1,0.95
542,-2118,101.09,142.93,175.07,0.96
543,-2346,101.9,144.04,176.44,0.96
544,-2115,103.1,144.36,177.39,0.95
545,-1512,103.94,143.97,177.57,0.95
546,-744,104.14,143.5,177.31,0.94
547,-133,104.08,143.33,177.13,0.94
548,30,104.02,143.26,177.04,0.94
549,-159,103.86,143.13,176.85,0.94
550,-778,103.33,143.2,176.59,0.95
551,-1517,102.71,143.88,176.78,0.95
552,-2118,102.64,145.12,177.75,0.96
553,-2344,103.45,146.22,179.11,0.96
554,-2114,104.64,146.53,180.06,0.95
555,-1512,105.48,146.15,180.24,0.95
556,-745,105.69,145.68,179.98,0.94
557,-132,105.62,145.5,179.8,0.94
558,31,105.57,145.43,179.71,0.94
559,-159,105.41,145.31,179.51,0.94
560,-782,104.87,145.37,179.25,0.95
561,-1516,104.25,146.05,179.44,0.95
562,-2118,104.18,147.28,180.41,0.96
563,-2344,104.98,148.38,181.77,0.96
564,-2114,106.18,148.7,182.72,0.95
565,-1512,107.02,148.31,182.89,0.95
566,-744,107.22,147.84,182.63,0.94
567,-133,107.16,147.67,182.45,0.94
568,30,107.1,147.59,182.35,0.94
569,-158,106.94,147.47,182.16,0.94
570,-779,106.41,147.52,181.89,0.95
571,-1516,105.78,148.2,182.08,0.95
572,-2120,105.71,149.44,183.05,0.96
573,-2346,106.51,150.54,184.41,0.96
574,-2114,107.71,150.85,185.36,0.95
575,-1513,108.55,150.47,185.53,0.95
576,-745,108.75,149.99,185.27,0.94
577,-132,108.68,149.82,185.09,0.94
578,30,108.63,149.74,184.99,0.94
579,-158,108.46,149.61,184.79,0.94
